DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,epx,epy,epz,imuangle1,imuangle2,imuangle3,marbtn,calibbtn
99.729,7870,35,NOERROR,2,1,0,0,-25.44169,-3.467568,-0.3840905,-16.43438,0.4887849,0.6903368,-0.3284117,0.04827717,-14,2,-1,1,1
99.742,7871,35,NOERROR,2,1,0,0,-25.44169,-3.467568,-0.3840905,-16.43438,0.4870751,0.6903368,-0.3284117,0.04827717,-14,2,-1,1,1
99.75401,7872,35,NOERROR,2,1,0,0,-25.44169,-3.379678,-0.3840905,-16.43438,0.4890958,0.6904029,-0.3284431,0.04710442,-15,2,-1,1,1
99.76701,7873,35,NOERROR,2,1,0,0,-25.44169,-3.291787,-0.2961999,-16.43438,0.4922047,0.6904929,-0.3284859,0.04548608,-14,2,0,1,1
99.78001,7874,35,NOERROR,2,1,0,0,-25.44169,-3.291787,-0.2961999,-16.43438,0.4883186,0.6904929,-0.3284859,0.04548608,-15,2,0,1,1
99.79201,7875,35,NOERROR,2,1,0,0,-25.44169,-3.203897,-0.2961999,-16.43438,0.4956244,0.6905551,-0.3285155,0.04431308,-14,2,0,1,1
99.80501,7876,35,NOERROR,2,1,0,0,-25.44169,-3.116006,-0.2961999,-16.43438,0.4956244,0.6906156,-0.3285443,0.04313997,-14,1,0,1,1
99.81801,7877,35,NOERROR,2,1,0,0,-25.44169,-3.028115,-0.2083093,-16.43438,0.484588,0.6906977,-0.3285834,0.0415211,-14,2,0,1,1
99.83,7878,35,NOERROR,2,1,0,0,-25.44169,-2.940225,-0.2083093,-16.43438,0.484588,0.6907543,-0.3286103,0.04034775,-14,2,-1,1,1
99.843,7879,35,NOERROR,2,1,0,0,-25.44169,-2.852334,-0.2083093,-16.43438,0.4817901,0.6908094,-0.3286365,0.03917431,-14,2,0,1,1
99.856,7880,35,NOERROR,2,1,0,0,-25.44169,-2.764443,-0.2083093,-16.43438,0.4821787,0.6908628,-0.3286619,0.03800077,-14,1,0,1,1
99.868,7881,35,NOERROR,2,1,0,0,-25.44169,-2.676553,-0.1204187,-16.43438,0.4792253,0.6909347,-0.3286961,0.03638131,-14,1,0,1,1
99.881,7882,35,NOERROR,2,1,0,0,-25.44169,-2.588662,-0.1204187,-16.43438,0.4760388,0.6909843,-0.3287197,0.03520756,-14,2,-1,1,1
99.89301,7883,35,NOERROR,2,1,0,0,-25.44169,-2.500772,-0.1204187,-16.43438,0.4761942,0.6910322,-0.3287425,0.03403373,-14,1,0,1,1
99.90601,7884,35,NOERROR,2,1,0,0,-25.44169,-2.412881,-0.1204187,-16.43438,0.4746398,0.6910785,-0.3287645,0.03285983,-14,1,0,1,1
99.91901,7885,35,NOERROR,2,1,0,0,-25.44169,-2.2371,-0.1204187,-16.43438,0.4791476,0.6911663,-0.3288063,0.03051178,-14,2,-1,1,1
99.93101,7886,35,NOERROR,2,1,0,0,-25.44169,-2.149209,-0.1204187,-16.43438,0.4803911,0.6912077,-0.328826,0.02933765,-15,1,0,1,1
99.94401,7887,35,NOERROR,2,1,0,0,-25.44169,-2.061318,-0.1204187,-16.43438,0.4824119,0.6912476,-0.328845,0.02816345,-15,2,0,1,1
99.95701,7888,35,NOERROR,2,1,0,0,-25.44169,-1.973428,-0.1204187,-16.43438,0.4737071,0.6912858,-0.3288631,0.02698918,-14,2,0,1,1
99.969,7889,35,NOERROR,2,1,0,0,-25.44169,-1.885537,-0.1204187,-16.43438,0.4834999,0.6913224,-0.3288805,0.02581485,-14,2,0,1,1
99.982,7890,35,NOERROR,2,1,0,0,-25.44169,-1.797646,-0.03252804,-16.43438,0.4815569,0.6913705,-0.3289035,0.02419431,-14,2,0,1,1
99.995,7891,35,NOERROR,2,1,0,0,-25.44169,-1.709756,-0.03252804,-16.43438,0.4822564,0.6914032,-0.328919,0.02301984,-14,2,-1,1,1
100.007,7892,35,NOERROR,2,1,0,0,-25.44169,-1.621865,0.05536258,-16.43438,0.4795362,0.6914456,-0.3289392,0.0213991,-14,2,0,1,1
100.02,7893,35,NOERROR,2,1,0,0,-25.44169,-1.533975,0.05536258,-16.43438,0.4811683,0.6914744,-0.3289529,0.02022451,-14,2,-1,1,1
