DeviceID: MARS-HOMER,,,,,,,,,,,,,,,,,,,,,,,
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,epx,epy,epz,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,,,
55.334,4176,32,NOERROR,0,0,0,0,0,0,0,0,-0.003575148,0.766,0,0,7,1,0,1,1,,,
55.347,4177,32,NOERROR,0,0,0,0,0,0,0,0,-0.00373059,0.766,0,0,7,1,0,1,1,0.013,0.01325,75.47169811
55.36,4178,32,NOERROR,0,0,0,0,0,0,0,0,-0.002331618,0.766,0,0,7,0,0,1,1,0.013,,
55.373,4179,32,NOERROR,0,0,0,0,0,0,0,0,-0.002331618,0.766,0,0,7,0,0,1,1,0.013,,
55.387,4180,32,NOERROR,0,0,0,0,0,0,0,0,-0.002797942,0.766,0,0,7,1,0,1,1,0.014,,
55.4,4181,32,NOERROR,0,0,0,0,0,0,0,0,-0.001398971,0.766,0,0,7,0,0,1,1,0.013,,
55.413,4182,32,NOERROR,0,0,0,0,0,0,0,0,-0.000621765,0.766,0,0,7,0,0,1,1,0.013,,
55.426,4183,32,NOERROR,0,0,0,0,0,0,0,0,0.000233162,0.766,0,0,7,1,0,1,1,0.013,,
55.44,4184,32,NOERROR,0,0,0,0,0,0,0,0,-7.77E-05,0.766,0,0,7,0,0,1,1,0.014,,
55.453,4185,32,NOERROR,0,0,0,0,0,0,0,0,0.000544044,0.766,0,0,7,1,0,1,1,0.013,,
55.466,4186,32,NOERROR,0,0,0,0,0,0,0,0,0.000621765,0.766,0,0,7,0,0,1,1,0.013,,
55.479,4187,32,NOERROR,0,0,0,0,0,0,0,0,0.001476692,0.766,0,0,7,0,0,1,1,0.013,,
55.493,4188,32,NOERROR,0,0,0,0,0,0,0,0,0.002098456,0.766,0,0,7,0,0,1,1,0.014,,
55.506,4189,32,NOERROR,0,0,0,0,0,0,0,0,0.001476692,0.766,0,0,7,0,0,1,1,0.013,,
55.519,4190,32,NOERROR,0,0,0,0,0,0,0,0,0.00256478,0.766,0,0,7,0,0,1,1,0.013,,
55.532,4191,32,NOERROR,0,0,0,0,0,0,0,0,0.002020736,0.766,0,0,7,1,0,1,1,0.013,,
55.546,4192,32,NOERROR,0,0,0,0,0,0,0,0,0.002253898,0.766,0,0,7,0,0,1,1,0.014,,
55.559,4193,32,NOERROR,0,0,0,0,0,0,0,0,0.002253898,0.766,0,0,7,0,0,1,1,0.013,,
55.572,4194,32,NOERROR,0,0,0,0,0,0,0,0,0.001709854,0.766,0,0,7,0,0,1,1,0.013,,
55.585,4195,32,NOERROR,0,0,0,0,0,0,0,0,0.001165809,0.766,0,0,7,0,0,1,1,0.013,,
55.599,4196,32,NOERROR,0,0,0,0,0,0,0,0,0.001165809,0.766,0,0,7,0,0,1,1,0.014,,
55.612,4197,32,NOERROR,0,0,0,0,0,0,0,0,0.001554412,0.766,0,0,7,1,0,1,1,0.013,,
55.625,4198,32,NOERROR,0,0,0,0,0,0,0,0,0.000777206,0.766,0,0,7,1,0,1,1,0.013,,
55.638,4199,32,NOERROR,0,0,0,0,0,0,0,0,0.001632133,0.766,0,0,7,1,0,1,1,0.013,,
55.652,4200,32,NOERROR,0,0,0,0,0,0,0,0,0.000544044,0.766,0,0,7,1,0,1,1,0.014,,
55.665,4201,32,NOERROR,0,0,0,0,0,0,0,0,0.000388603,0.766,0,0,7,1,0,1,1,0.013,,
55.678,4202,32,NOERROR,0,0,0,0,0,0,0,0,0.000388603,0.766,0,0,7,1,0,1,1,0.013,,
55.691,4203,32,NOERROR,0,0,0,0,0,0,0,0,-0.000233162,0.766,0,0,7,1,0,1,1,0.013,,
55.705,4204,32,NOERROR,0,0,0,0,0,0,0,0,7.772062E-05,0.766,0,0,7,1,0,1,1,0.014,,
55.718,4205,32,NOERROR,0,0,0,0,0,0,0,0,7.772062E-05,0.766,0,0,7,0,0,1,1,0.013,,
55.731,4206,32,NOERROR,0,0,0,0,0,0,0,0,0.001165809,0.766,0,0,7,1,0,1,1,0.013,,
55.744,4207,32,NOERROR,0,0,0,0,0,0,0,0,0.000621765,0.766,0,0,7,0,0,1,1,0.013,,
55.758,4208,32,NOERROR,0,0,0,0,0,0,0,0,0.00124353,0.766,0,0,7,1,0,1,1,0.014,,
55.771,4209,32,NOERROR,0,0,0,0,0,0,0,0,0.001088089,0.766,0,0,7,1,0,1,1,0.013,,
55.784,4210,32,NOERROR,0,0,0,0,0,0,0,0,0.001554412,0.766,0,0,7,1,0,1,1,0.013,,
55.797,4211,32,NOERROR,0,0,0,0,0,0,0,0,0.001709854,0.766,0,0,7,1,0,1,1,0.013,,
55.811,4212,32,NOERROR,0,0,0,0,0,0,0,0,0.000932647,0.766,0,0,7,0,0,1,1,0.014,,
55.824,4213,32,NOERROR,0,0,0,0,0,0,0,0,0.000777206,0.766,0,0,7,0,0,1,1,0.013,,
55.837,4214,32,NOERROR,0,0,0,0,0,0,0,0,0.000854927,0.766,0,0,7,0,0,1,1,0.013,,
55.85,4215,32,NOERROR,0,0,0,0,0,0,0,0,0.001787574,0.766,0,0,7,1,0,1,1,0.013,,
55.864,4216,32,NOERROR,0,0,0,0,0,0,0,0,0.001943015,0.766,0,0,7,1,0,1,1,0.014,,
