DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
219.054,16546,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.824412,0.6293031,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-9,8,1,1,999,0,791.963
219.067,16547,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.822158,0.6275826,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,9,1,1,999,0,792.5483
219.081,16548,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.8192824,0.6253875,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-9,7,1,1,999,0,793.0945
219.094,16549,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.8153187,0.6223619,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-9,8,1,1,999,0,793.8875
219.107,16550,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.8115879,0.619514,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-9,9,1,1,999,0,794.4171
219.12,16551,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.8062252,0.6154205,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,8,1,1,999,0,795.5178
219.134,16552,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.8010181,0.6114457,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,8,1,1,999,0,796.2863
219.147,16553,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.121822,0.794645,0.6065809,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,9,1,1,999,0,797.4612
219.16,16554,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7895154,0.6026653,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,8,1,1,999,0,798.0305
219.173,16555,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7836086,0.5981564,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,9,1,1,999,0,799.0674
219.186,16556,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7780126,0.5938848,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-11,9,1,1,999,0,799.8688
219.2,16557,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7689971,0.5870029,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,8,1,1,999,0,801.8357
219.213,16558,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7610697,0.5809516,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,9,1,1,999,0,802.8588
219.226,16559,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7530643,0.5748408,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-11,9,1,1,999,0,804.0958
219.239,16560,37,NOERROR,1,1,0,0,-92.61842,-5.940833,4.342516,-4.033932,0.7469245,0.5701541,-0.03487203,-0.7625387,0.05727981,0,0,0,-90,-10,9,1,1,999,0,804.7126
