DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
3046.519,58212,51,NOERROR,1,1,,,-91.15054,34.20716,-87.89537,-10.29513,6.277572,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.526,58213,51,NOERROR,1,1,,,-91.15054,34.20716,-87.80748,-10.29513,6.265603,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.533,58214,51,NOERROR,1,1,,,-91.15054,34.20716,-87.71959,-10.20723,6.244618,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.54,58215,51,NOERROR,1,1,,,-91.15054,34.20716,-87.6317,-10.20723,6.244618,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.548,58216,51,NOERROR,1,1,,,-91.15054,34.20716,-87.54381,-10.20723,6.215629,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.555,58217,51,NOERROR,1,1,,,-91.15054,34.20716,-87.45592,-10.20723,6.215629,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.562,58218,51,NOERROR,1,1,,,-91.15054,34.20716,-87.36803,-10.20723,6.175136,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.569,58219,51,NOERROR,1,1,,,-91.15054,34.20716,-87.28014,-10.20723,6.129903,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.576,58220,51,NOERROR,1,1,,,-91.15054,34.20716,-87.19225,-10.20723,6.129903,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.583,58221,51,NOERROR,1,1,,,-91.15054,34.11927,-87.01646,-10.29513,6.07884,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.59,58222,51,NOERROR,1,1,,,-91.15054,34.11927,-86.92857,-10.29513,6.07884,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.597,58223,51,NOERROR,1,1,,,-91.15054,34.11927,-86.84068,-10.20723,6.022648,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.605,58224,51,NOERROR,1,1,,,-91.15054,34.11927,-86.75279,-10.20723,5.961404,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.612,58225,51,NOERROR,1,1,,,-91.15054,34.11927,-86.6649,-10.11934,5.961404,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.619,58226,51,NOERROR,1,1,,,-91.15054,34.11927,-86.57701,-10.03145,5.899072,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.626,58227,51,NOERROR,1,1,,,-91.15054,34.11927,-86.40123,-9.943563,5.899072,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.633,58228,51,NOERROR,1,1,,,-91.15054,34.11927,-86.31334,-9.855672,5.83744,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.64,58229,51,NOERROR,1,1,,,-91.15054,34.11927,-86.22545,-9.767781,5.780082,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
3046.647,58230,51,NOERROR,1,1,,,-91.15054,34.11927,-86.13756,-9.592,5.780082,,,,,,,,1.693359,4.503062,-6.974323,1,,-95.09615,-95.09615,2348.842
