DeviceID: MARS-HOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control,simulateAng1JumpCmd
34.683,3285,51,NOERROR,2,1,,,-71.49461,-2.199368,2.857244,8.089264,2.933559,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-75.86648,-2135.794,0
34.69,3286,51,NOERROR,2,1,,,-71.6739,-2.199368,2.769353,8.089264,2.933559,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.02161,-1959.929,0
34.697,3287,51,NOERROR,2,1,,,-71.854,-2.199368,2.681463,8.089264,2.930711,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.1761,-1938.786,0
34.705,3288,51,NOERROR,2,1,,,-72.02914,-2.199368,2.681463,8.089264,2.930711,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.35196,-2152.654,0
34.712,3289,51,NOERROR,2,1,,,-72.19887,-2.199368,2.593572,8.089264,2.926965,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.50508,-2013.249,0
34.72,3290,51,NOERROR,2,1,,,-72.36902,-2.199368,2.505681,8.089264,2.927264,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.67928,-2176.486,0
34.727,3291,51,NOERROR,2,1,,,-72.53793,-2.199368,2.417791,8.089264,2.927264,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-76.83103,-2009.96,0
34.735,3292,51,NOERROR,2,1,,,-72.71181,-2.199368,2.417791,8.089264,2.927264,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.00365,-2137.801,0
34.742,3293,51,NOERROR,2,1,,,-72.88238,-2.199368,2.3299,8.089264,2.918123,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.15401,-1982.391,0
34.75,3294,51,NOERROR,2,1,,,-73.05626,-2.199368,2.242009,8.089264,2.918123,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.32504,-2122.413,0
34.757,3295,51,NOERROR,2,1,,,-73.22765,-2.199368,2.242009,8.089264,2.914826,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.47398,-1959.647,0
34.765,3296,51,NOERROR,2,1,,,-73.39947,-2.199368,2.154119,8.089264,2.914826,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.64339,-2120.287,0
34.772,3297,51,NOERROR,2,1,,,-73.56547,-2.199368,2.154119,8.089264,2.912878,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.79093,-1989.282,0
34.78,3298,51,NOERROR,2,1,,,-73.72856,-2.199368,2.066228,8.089264,2.915425,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-77.95872,-2168.18,0
34.787,3299,51,NOERROR,2,1,,,-73.88834,-2.199368,1.978338,8.089264,2.915425,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.10485,-2030.299,0
34.795,3300,51,NOERROR,2,1,,,-74.04811,-2.111478,1.978338,8.089264,2.922019,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.271,-2182.291,0
34.802,3301,51,NOERROR,2,1,,,-74.2083,-2.111478,1.890447,8.089264,2.922019,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.41568,-2018.903,0
34.809,3302,51,NOERROR,2,1,,,-74.37057,-2.111478,1.890447,8.089264,2.925916,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.55969,-1991.948,0
34.817,3303,51,NOERROR,2,1,,,-74.532,-2.111478,1.802556,8.089264,2.938954,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.72351,-2150.028,0
34.824,3304,51,NOERROR,2,1,,,-74.69136,-2.111478,1.802556,8.001373,2.938954,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-78.86607,-2003.831,0
34.832,3305,51,NOERROR,2,1,,,-74.84865,-2.111478,1.714666,8.001373,2.937605,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.02814,-2166.769,0
34.839,3306,51,NOERROR,2,1,,,-75.00552,-2.111478,1.714666,8.001373,2.95379,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.16925,-2013.991,0
34.847,3307,51,NOERROR,2,1,,,-75.16114,-2.111478,1.714666,8.001373,2.95379,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.32966,-2167.861,0
34.854,3308,51,NOERROR,2,1,,,-75.31261,-2.111478,1.626775,8.001373,2.967577,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.46928,-2047.675,0
34.862,3309,51,NOERROR,2,1,,,-75.46616,-2.111478,1.626775,8.001373,2.967577,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.628,-2173.572,0
34.869,3310,51,NOERROR,2,1,,,-75.61806,-2.023587,1.626775,8.001373,2.980765,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.76615,-2036.548,0
34.877,3311,51,NOERROR,2,1,,,-75.77617,-2.023587,1.626775,8.001373,2.993953,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-79.92317,-2132.524,0
34.884,3312,51,NOERROR,2,1,,,-75.93429,-2.023587,1.626775,8.001373,2.993953,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.05984,-1974.273,0
34.892,3313,51,NOERROR,2,1,,,-76.09282,-2.023587,1.626775,8.001373,2.99725,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.21516,-2113.304,0
34.899,3314,51,NOERROR,2,1,,,-76.24761,-2.023587,1.626775,8.001373,3.009089,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.35032,-1984.679,0
34.907,3315,51,NOERROR,2,1,,,-76.39992,-2.023587,1.626775,8.001373,3.009089,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.50401,-2140.281,0
34.914,3316,51,NOERROR,2,1,,,-76.54973,-2.023587,1.626775,8.001373,3.017182,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.63766,-2011.087,0
34.921,3317,51,NOERROR,2,1,,,-76.70328,-2.111478,1.626775,8.001373,3.017182,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.77061,-1971.083,0
34.929,3318,51,NOERROR,2,1,,,-76.85351,-2.111478,1.626775,8.001373,3.023926,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-80.92169,-2129.122,0
34.936,3319,51,NOERROR,2,1,,,-77.00581,-2.111478,1.714666,8.001373,3.032618,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.05313,-1966.774,0
34.944,3320,51,NOERROR,2,1,,,-77.15895,-2.111478,1.714666,8.001373,3.032618,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.20247,-2094.106,0
34.951,3321,51,NOERROR,2,1,,,-77.31582,-2.111478,1.714666,8.001373,3.027523,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.33237,-1913.052,0
34.959,3322,51,NOERROR,2,1,,,-77.47311,-2.111478,1.714666,8.001373,3.043708,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.47997,-2044.918,0
34.966,3323,51,NOERROR,2,1,,,-77.62417,-2.111478,1.714666,8.001373,3.043708,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.60835,-1937.267,0
34.974,3324,51,NOERROR,2,1,,,-77.77274,-2.111478,1.802556,8.001373,3.046255,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.75418,-2083.569,0
34.981,3325,51,NOERROR,2,1,,,-77.91923,-2.111478,1.802556,8.001373,3.046255,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-81.88102,-1956.208,0
34.989,3326,51,NOERROR,2,1,,,-78.06406,-2.199368,1.802556,8.001373,3.058994,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.02509,-2092.226,0
34.996,3327,51,NOERROR,2,1,,,-78.21139,-2.199368,1.802556,8.001373,3.066637,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.15038,-1934.954,0
35.004,3328,51,NOERROR,2,1,,,-78.35954,-2.199368,1.890447,8.001373,3.066637,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.29276,-2053.598,0
35.011,3329,51,NOERROR,2,1,,,-78.50977,-2.199368,1.890447,8.001373,3.064838,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.41649,-1893.547,0
35.019,3330,51,NOERROR,2,1,,,-78.65959,-2.199368,1.890447,8.001373,3.064838,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.55701,-2020.826,0
35.026,3331,51,NOERROR,2,1,,,-78.8094,-2.199368,1.890447,8.001373,3.072781,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.67919,-1874.572,0
35.033,3332,51,NOERROR,2,1,,,-78.95963,-2.199368,1.890447,8.001373,3.070083,,,,,,,,3.055731,-2.076957,4.042699,5.693692,1,,-93.21089,-82.80064,-1855.432,0
