DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control,simulateAng1JumpCmd
178.729,14991,51,NOERROR,1,1,,,-20.90134,2.992725,-1.970371,-6.747356,5.919719,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-22.9904,1302.686,0
178.737,14992,51,NOERROR,1,1,,,-20.9914,2.992725,-2.058262,-6.747356,5.97322,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.09225,1371.087,0
178.744,14993,51,NOERROR,1,1,,,-21.08477,2.904834,-2.146153,-6.747356,5.97322,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.18207,1289.179,0
178.751,14994,51,NOERROR,1,1,,,-21.17649,2.904834,-2.234043,-6.747356,6.023274,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.27246,1299.253,0
178.759,14995,51,NOERROR,1,1,,,-21.26945,2.816943,-2.321934,-6.747356,6.023274,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.37636,1365.26,0
178.766,14996,51,NOERROR,1,1,,,-21.35992,2.729053,-2.321934,-6.747356,6.065086,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.46799,1315.217,0
178.774,14997,51,NOERROR,1,1,,,-21.45537,2.641162,-2.409825,-6.835247,6.101653,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.57329,1362.021,0
178.781,14998,51,NOERROR,1,1,,,-21.54916,2.641162,-2.497715,-6.835247,6.101653,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.66613,1304.236,0
178.789,14999,51,NOERROR,1,1,,,-21.64544,2.553272,-2.497715,-6.835247,6.127279,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.77282,1366.112,0
178.796,15000,51,NOERROR,1,1,,,-21.74172,2.465381,-2.585606,-6.835247,6.140017,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.86689,1297.304,0
178.804,15001,51,NOERROR,1,1,,,-21.83924,2.37749,-2.585606,-6.835247,6.140017,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-23.97497,1367.559,0
178.811,15002,51,NOERROR,1,1,,,-21.94009,2.2896,-2.585606,-6.835247,6.14796,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.07025,1276.497,0
178.819,15003,51,NOERROR,1,1,,,-22.04176,2.201709,-2.585606,-6.835247,6.14796,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.17971,1351.266,0
178.826,15004,51,NOERROR,1,1,,,-22.14385,2.113818,-2.585606,-6.835247,6.152606,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.2762,1273.348,0
178.834,15005,51,NOERROR,1,1,,,-22.24843,2.025928,-2.585606,-6.835247,6.146012,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.38704,1340.186,0
178.841,15006,51,NOERROR,1,1,,,-22.35343,1.938037,-2.585606,-6.835247,6.146012,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.48474,1258.672,0
178.849,15007,51,NOERROR,1,1,,,-22.45759,1.850147,-2.585606,-6.835247,6.138369,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.59695,1346.21,0
178.856,15008,51,NOERROR,1,1,,,-22.56217,1.762256,-2.585606,-6.835247,6.129377,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.69584,1265.379,0
178.863,15009,51,NOERROR,1,1,,,-22.66717,1.674365,-2.497715,-6.835247,6.129377,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.79529,1261.597,0
178.871,15010,51,NOERROR,1,1,,,-22.76884,1.586475,-2.497715,-6.835247,6.119036,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-24.90951,1364.735,0
178.878,15011,51,NOERROR,1,1,,,-22.86969,1.498584,-2.409825,-6.835247,6.119036,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.01015,1295.254,0
178.886,15012,51,NOERROR,1,1,,,-22.97178,1.322803,-2.409825,-6.835247,6.118737,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.12572,1372.608,0
178.893,15013,51,NOERROR,1,1,,,-23.07387,1.234912,-2.321934,-6.835247,6.121284,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.22754,1297.465,0
178.901,15014,51,NOERROR,1,1,,,-23.17513,1.147022,-2.321934,-6.747356,6.121284,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.34447,1387.859,0
178.908,15015,51,NOERROR,1,1,,,-23.27763,1.059131,-2.234043,-6.747356,6.128178,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.44747,1305.985,0
178.916,15016,51,NOERROR,1,1,,,-23.38346,0.9712403,-2.146153,-6.747356,6.139567,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.56574,1374.156,0
178.923,15017,51,NOERROR,1,1,,,-23.49053,0.795459,-2.146153,-6.747356,6.139567,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.66992,1286.394,0
178.931,15018,51,NOERROR,1,1,,,-23.5976,0.7075684,-2.058262,-6.747356,6.141665,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.78951,1375.801,0
178.938,15019,51,NOERROR,1,1,,,-23.70591,0.6196778,-1.970371,-6.747356,6.141665,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-25.89486,1286.505,0
178.946,15020,51,NOERROR,1,1,,,-23.81672,0.5317872,-1.970371,-6.747356,6.148409,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.01579,1363.003,0
178.953,15021,51,NOERROR,1,1,,,-23.92669,0.4438965,-1.882481,-6.747356,6.144513,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.12229,1282.59,0
178.961,15022,51,NOERROR,1,1,,,-24.03584,0.2681153,-1.79459,-6.747356,6.144513,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.24454,1379.907,0
178.968,15023,51,NOERROR,1,1,,,-24.14499,0.1802247,-1.79459,-6.747356,6.138819,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.3522,1296.316,0
178.975,15024,51,NOERROR,1,1,,,-24.25413,0.09233403,-1.7067,-6.747356,6.140317,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.46039,1297.23,0
178.983,15025,51,NOERROR,1,1,,,-24.35995,0.004443407,-1.7067,-6.747356,6.140317,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.58456,1410.038,0
178.99,15026,51,NOERROR,1,1,,,-24.46536,-0.08344722,-1.618809,-6.747356,6.145412,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.69389,1333.717,0
178.998,15027,51,NOERROR,1,1,,,-24.5716,-0.1713378,-1.618809,-6.747356,6.145412,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.81936,1422.591,0
179.005,15028,51,NOERROR,1,1,,,-24.67826,-0.2592285,-1.530918,-6.747356,6.153505,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-26.92983,1340.442,0
179.013,15029,51,NOERROR,1,1,,,-24.78699,-0.3471191,-1.530918,-6.747356,6.166693,,,,,,,,-15.91832,3.038883,2.226214,-13.20319,1,,-90.32166,-27.05659,1423.572,0
