DeviceID: MARS-HOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control,simulateAng1JumpCmd
49.465,4691,51,NOERROR,2,1,,,-43.78848,-4.812471,4.656685,18.70797,2.11516,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-48.06319,-1945.963,0
49.472,4692,51,NOERROR,2,1,,,-44.01009,-4.812471,4.656685,18.70797,2.119356,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-48.26474,-1647.621,0
49.48,4693,51,NOERROR,2,1,,,-44.23045,-4.812471,4.656685,18.70797,2.123552,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-48.49492,-1923.604,0
49.487,4694,51,NOERROR,2,1,,,-44.4475,-4.812471,4.568795,18.70797,2.123552,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-48.69622,-1688.433,0
49.495,4695,51,NOERROR,2,1,,,-44.66371,-4.812471,4.568795,18.70797,2.135241,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-48.92612,-1955.124,0
49.502,4696,51,NOERROR,2,1,,,-44.88325,-4.812471,4.568795,18.70797,2.14723,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-49.12716,-1661.283,0
49.509,4697,51,NOERROR,2,1,,,-45.10029,-4.812471,4.568795,18.70797,2.14723,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-49.32808,-1677.178,0
49.517,4698,51,NOERROR,2,1,,,-45.31236,-4.812471,4.480904,18.70797,2.163415,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-49.55751,-1978.26,0
49.524,4699,51,NOERROR,2,1,,,-45.52484,-4.812471,4.480904,18.70797,2.163415,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-49.75813,-1722.804,0
49.532,4700,51,NOERROR,2,1,,,-45.73981,-4.724581,4.480904,18.70797,2.18065,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-49.98734,-1955.941,0
