DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
1164.587,9787,51,NOERROR,2,1,,,-79.84357,-1.605955,4.043899,17.52032,3.088517,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-83.95777,-2185.093
1164.597,9788,51,NOERROR,2,1,,,-80.01663,-1.605955,3.868117,17.52032,3.089416,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.08801,-2061.617
1164.608,9789,51,NOERROR,2,1,,,-80.1901,-1.605955,3.604445,17.52032,3.08492,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.22923,-2113.452
1164.618,9790,51,NOERROR,2,1,,,-80.35486,-1.605955,3.428664,17.52032,3.066037,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.35632,-2062.877
1164.629,9791,51,NOERROR,2,1,,,-80.50965,-1.605955,3.164992,17.52032,3.063639,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.49409,-2166.007
1164.64,9792,51,NOERROR,2,1,,,-80.65408,-1.605955,2.90132,17.52032,3.063639,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.63007,-2204.257
1164.65,9793,51,NOERROR,2,1,,,-80.79517,-1.605955,2.725539,17.52032,3.058095,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.75237,-2147.246
1164.661,9794,51,NOERROR,2,1,,,-80.93212,-1.605955,2.461867,17.52032,3.053449,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-84.8849,-2217.052
1164.671,9795,51,NOERROR,2,1,,,-81.06866,-1.605955,2.198195,17.52032,3.057045,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.00407,-2150.318
1164.682,9796,51,NOERROR,2,1,,,-81.21183,-1.605955,1.934524,17.52032,3.052999,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.13315,-2165.365
1164.692,9797,51,NOERROR,2,1,,,-81.35335,-1.518064,1.670852,17.52032,3.045806,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.24919,-2099.071
1164.703,9798,51,NOERROR,2,1,,,-81.49196,-1.518064,1.40718,17.52032,3.023926,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.37483,-2157.84
1164.714,9799,51,NOERROR,2,1,,,-81.6231,-1.518064,1.143508,17.52032,3.012387,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.49869,-2182.104
1164.724,9800,51,NOERROR,2,1,,,-81.7476,-1.518064,0.8798361,17.52032,3.016583,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.60997,-2150.176
1164.735,9801,51,NOERROR,2,1,,,-81.86462,-1.518064,0.6161642,17.52032,3.016583,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.7304,-2227.755
1164.745,9802,51,NOERROR,2,1,,,-81.97916,-1.518064,0.2646017,17.52032,3.022877,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.83856,-2185.221
1164.756,9803,51,NOERROR,2,1,,,-82.0879,-1.518064,0.0009298325,17.52032,3.024226,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-85.95558,-2253.548
1164.767,9804,51,NOERROR,2,1,,,-82.19497,-1.518064,-0.262742,17.52032,3.035166,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-86.07082,-2259.621
1164.777,9805,51,NOERROR,2,1,,,-82.30785,-1.518064,-0.6143045,17.52032,3.036514,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-86.17426,-2183.899
1164.788,9806,51,NOERROR,2,1,,,-82.42197,-1.430174,-0.965867,17.52032,3.039961,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-86.2861,-2216.834
1164.798,9807,51,NOERROR,2,1,,,-82.53983,-1.430174,-1.229539,17.52032,3.04131,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-86.38646,-2144.353
1164.809,9808,51,NOERROR,2,1,,,-82.65769,-1.430174,-1.581101,17.52032,3.04161,,,,,,,,3.079634,-1.835864,3.518076,17.06075,1,,-90.32166,-86.49492,-2179.724
