DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
905.999,58289,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1011572,,,,,,,,2.927954,1.907284,-4.221431,1.631423,1,,999,999,0
906.015,58290,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1034051,,,,,,,,2.745644,1.780715,-4.164325,1.731288,1,,999,999,0
906.03,58291,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.103555,,,,,,,,3.013594,2.16108,-4.615912,1.762051,1,,999,999,0
906.046,58292,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1049038,,,,,,,,2.862895,1.924594,-4.030624,1.79934,1,,999,999,0
906.061,58293,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1062525,,,,,,,,2.794228,1.911493,-4.176248,1.945523,1,,999,999,0
906.077,58294,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1067021,,,,,,,,2.960364,1.985049,-4.389131,2.084153,1,,999,999,0
906.093,58295,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1067021,,,,,,,,2.77849,2.121096,-4.497676,2.098851,1,,999,999,0
906.108,58296,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1064024,,,,,,,,2.73541,1.913806,-4.030265,1.05145,1,,999,999,0
906.124,58297,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.1055032,,,,,,,,2.467706,1.739954,-4.353937,1.587237,1,,999,999,0
906.139,58298,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.09980844,,,,,,,,2.506229,2.031907,-4.565218,1.685268,1,,999,999,0
906.155,58299,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.09366407,,,,,,,,2.493293,1.724242,-4.027761,1.942299,1,,999,999,0
906.17,58300,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.08871861,,,,,,,,2.90637,1.911493,-4.027922,1.796344,1,,999,999,0
906.186,58301,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.08886848,,,,,,,,2.808468,2.178833,-4.664118,1.999033,1,,999,999,0
906.201,58302,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.08721998,,,,,,,,3.034932,2.142339,-4.231271,1.631795,1,,999,999,0
906.217,58303,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.08032631,,,,,,,,2.964094,1.785958,-4.293149,2.25796,1,,999,999,0
906.2321,58304,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.07553071,,,,,,,,2.918123,1.980257,-4.094053,1.793789,1,,999,999,0
906.248,58305,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.07298304,,,,,,,,2.658134,2.36671,-4.169716,1.510399,1,,999,999,0
906.264,58306,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.06998579,,,,,,,,2.811553,2.364273,-4.696171,1.899538,1,,999,999,0
906.2791,58307,48,NOERROR,0,0,,,0.37433,-0.1757813,-0.4394531,37.08984,-0.06863704,,,,,,,,2.652668,1.760672,-4.155889,1.826715,1,,999,999,0
