DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
149.468,12027,48,NOERROR,0,0,,,-2.038895,-0.5273438,-0.08789063,0.08789063,0.03731577,,,,,,,,0.8123626,0.8544703,-2.00896,-21.41302,1,,999,999,0
149.481,12028,48,NOERROR,0,0,,,-2.038895,-0.5273438,-0.08789063,0.08789063,0.04016316,,,,,,,,0.700016,0.6440603,-2.000589,-21.39981,1,,999,999,0
149.493,12029,48,NOERROR,0,0,,,-2.038895,-0.4394531,-0.08789063,0.08789063,0.04301054,,,,,,,,0.8711407,0.8852948,-1.664299,-21.91572,1,,999,999,0
149.506,12030,48,NOERROR,0,0,,,-2.038895,-0.4394531,-0.08789063,0.08789063,0.04211137,,,,,,,,1.13305,0.8534271,-2.210625,-21.03277,1,,999,999,0
149.518,12031,48,NOERROR,0,0,,,-2.038895,-0.4394531,-0.08789063,0.08789063,0.04316041,,,,,,,,0.8549211,1.163419,-2.339206,-21.57106,1,,999,999,0
149.531,12032,48,NOERROR,0,0,,,-2.03848,-0.3515625,-0.08789063,0.08789063,0.04181165,,,,,,,,1.023184,0.7850166,-1.981437,-21.31757,1,,999,999,0.0008146705
149.543,12033,48,NOERROR,0,0,,,-2.03848,-0.3515625,-0.08789063,0.08789063,0.04346013,,,,,,,,0.9559158,0.8154432,-2.001288,-21.6627,1,,999,999,0
149.555,12034,48,NOERROR,0,0,,,-2.03848,-0.3515625,-0.08789063,0.08789063,0.0443593,,,,,,,,1.136416,0.7156338,-1.875538,-21.5241,1,,999,999,0
149.568,12035,48,NOERROR,0,0,,,-2.03848,-0.2636719,-0.08789063,0.08789063,0.04256095,,,,,,,,1.049681,0.741878,-2.18209,-21.20836,1,,999,999,0
149.58,12036,48,NOERROR,0,0,,,-2.03848,-0.2636719,-0.08789063,0.08789063,0.04226123,,,,,,,,1.062008,1.104125,-2.323905,-21.53986,1,,999,999,0
149.593,12037,48,NOERROR,0,0,,,-2.03848,-0.2636719,-0.08789063,0.08789063,0.04121219,,,,,,,,0.8832651,0.7711889,-1.806371,-21.64882,1,,999,999,0
149.605,12038,48,NOERROR,0,0,,,-2.03848,-0.1757813,0,0.08789063,0.04121219,,,,,,,,0.9247767,1.107095,-2.156195,-21.66561,1,,999,999,0
149.618,12039,48,NOERROR,0,0,,,-2.03848,-0.1757813,0,0.08789063,0.03971357,,,,,,,,1.081304,0.9550754,-2.061144,-21.47529,1,,999,999,0
149.63,12040,48,NOERROR,0,0,,,-2.03848,-0.1757813,0,0.08789063,0.04016316,,,,,,,,0.8535793,0.657739,-1.882604,-21.69443,1,,999,999,0
149.642,12041,48,NOERROR,0,0,,,-2.038065,-0.08789063,0,0.08789063,0.04016316,,,,,,,,1.049363,0.9655677,-2.44739,-21.33699,1,,999,999,0.0009572055
149.655,12042,48,NOERROR,0,0,,,-2.038065,-0.08789063,0,0.08789063,0.04121219,,,,,,,,0.87051,0.8425242,-2.518927,-21.26599,1,,999,999,0
149.667,12043,48,NOERROR,0,0,,,-2.03765,0,0,0.08789063,0.04061274,,,,,,,,0.8665049,0.6988648,-1.5757,-22.06461,1,,999,999,0.0009572055
149.68,12044,48,NOERROR,0,0,,,-2.03765,0,0,0.08789063,0.04091247,,,,,,,,0.9546091,1.263673,-2.114748,-21.76238,1,,999,999,0
149.692,12045,48,NOERROR,0,0,,,-2.03765,0,0,0.08789063,0.0407626,,,,,,,,0.8937721,0.8240415,-2.011349,-21.54139,1,,999,999,0
149.705,12046,48,NOERROR,0,0,,,-2.03765,0.08789063,0,0.08789063,0.04121219,,,,,,,,0.6590993,0.9396508,-2.386636,-21.34619,1,,999,999,0
149.717,12047,48,NOERROR,0,0,,,-2.03765,0.08789063,0,0.08789063,0.04106233,,,,,,,,0.9351839,0.9073865,-2.446769,-21.30169,1,,999,999,0
149.73,12048,48,NOERROR,0,0,,,-2.038065,0.1757813,0.08789063,0.08789063,0.03971357,,,,,,,,0.8985732,0.8986836,-2.128382,-21.62079,1,,999,999,-0.0008156071
149.742,12049,48,NOERROR,0,0,,,-2.038065,0.1757813,0.08789063,0.08789063,0.03896425,,,,,,,,0.8508104,0.9764588,-2.219674,-21.58169,1,,999,999,0
149.754,12050,48,NOERROR,0,0,,,-2.038065,0.1757813,0.08789063,0.08789063,0.03851467,,,,,,,,0.8407107,1.135115,-2.167233,-21.81298,1,,999,999,0
149.767,12051,48,NOERROR,0,0,,,-2.038065,0.2636719,0.08789063,0.08789063,0.03911412,,,,,,,,0.8524155,1.173987,-2.445448,-21.66999,1,,999,999,0
149.779,12052,48,NOERROR,0,0,,,-2.038065,0.2636719,0.08789063,0.08789063,0.03851467,,,,,,,,1.050671,0.8826971,-2.509177,-21.33708,1,,999,999,0
149.792,12053,48,NOERROR,0,0,,,-2.038065,0.3515625,0.08789063,0.08789063,0.03746563,,,,,,,,1.101325,0.8226377,-1.966142,-21.86695,1,,999,999,0
149.804,12054,48,NOERROR,0,0,,,-2.038065,0.3515625,0.08789063,0.08789063,0.0395637,,,,,,,,1.162071,1.092283,-2.097121,-21.913,1,,999,999,0
149.816,12055,48,NOERROR,0,0,,,-2.038065,0.3515625,0.08789063,0.08789063,0.0395637,,,,,,,,0.9644848,0.9786028,-2.081124,-21.66421,1,,999,999,0
149.829,12056,48,NOERROR,0,0,,,-2.038065,0.4394531,0.1757813,0.08789063,0.03881439,,,,,,,,0.8382484,1.704811,-2.863571,-21.85972,1,,999,999,0
149.841,12057,48,NOERROR,0,0,,,-2.038065,0.4394531,0.1757813,0.08789063,0.03821494,,,,,,,,0.9516039,1.1897,-2.588949,-21.69532,1,,999,999,0
149.854,12058,48,NOERROR,0,0,,,-2.038065,0.4394531,0.1757813,0.08789063,0.03776535,,,,,,,,1.218957,1.079074,-2.237548,-21.82287,1,,999,999,0
149.866,12059,48,NOERROR,0,0,,,-2.038065,0.5273438,0.1757813,0.08789063,0.03866453,,,,,,,,0.8947582,1.202517,-2.418986,-21.8036,1,,999,999,0
149.879,12060,48,NOERROR,0,0,,,-2.038065,0.5273438,0.1757813,0.08789063,0.03761549,,,,,,,,0.9249564,1.247497,-2.402838,-21.82293,1,,999,999,0
149.891,12061,48,NOERROR,0,0,,,-2.038065,0.5273438,0.1757813,0.08789063,0.03716591,,,,,,,,0.9252247,1.121654,-2.364563,-21.40797,1,,999,999,0
149.903,12062,48,NOERROR,0,0,,,-2.038065,0.6152344,0.1757813,0.08789063,0.03806508,,,,,,,,1.060214,1.060395,-2.18923,-21.85833,1,,999,999,0
149.916,12063,48,NOERROR,0,0,,,-2.038065,0.6152344,0.1757813,0.08789063,0.03641659,,,,,,,,0.8534201,1.287329,-2.514304,-21.54955,1,,999,999,0
