DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
278.489,22400,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.3133625,,,,,,,,2.020165,0.8280783,-1.888728,1.855405,1,,999,999,0
278.502,22401,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.3103653,,,,,,,,1.942252,1.188249,-2.685652,2.266522,1,,999,999,0
278.514,22402,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.3072182,,,,,,,,2.095781,1.244149,-2.629953,2.639645,1,,999,999,0
278.527,22403,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.3027223,,,,,,,,2.163758,0.8100764,-2.213479,2.563417,1,,999,999,0
278.539,22404,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2949294,,,,,,,,2.060038,1.093619,-2.312193,2.405375,1,,999,999,0
278.551,22405,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2854881,,,,,,,,2.046696,0.8274702,-2.402459,2.52194,1,,999,999,0
278.564,22406,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2799432,,,,,,,,1.929478,0.7553205,-2.083598,2.18108,1,,999,999,0
278.576,22407,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.275747,,,,,,,,1.719838,0.8672038,-2.283725,2.098581,1,,999,999,0
278.589,22408,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2740985,,,,,,,,1.875101,1.301953,-2.564895,1.835741,1,,999,999,0
278.601,22409,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2752974,,,,,,,,2.417827,0.900228,-2.474827,2.311795,1,,999,999,0
278.614,22410,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2749977,,,,,,,,2.070011,1.063503,-2.602506,2.154011,1,,999,999,0
278.626,22411,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2748479,,,,,,,,1.987692,0.9382728,-2.427061,1.907814,1,,999,999,0
278.638,22412,48,NOERROR,0,0,,,-0.95118,-0.3515625,-0.2636719,-4.833984,-0.2731994,,,,,,,,1.949932,1.08066,-2.561752,2.218646,1,,999,999,0
278.651,22413,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.2636719,-4.833984,-0.2763465,,,,,,,,2.237815,0.8676275,-2.222819,2.137338,1,,999,999,-0.0008151386
278.663,22414,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.2636719,-4.833984,-0.2796435,,,,,,,,2.178675,0.964155,-2.792123,2.636271,1,,999,999,0
278.676,22415,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.2636719,-4.833984,-0.2859377,,,,,,,,2.388062,0.7545837,-2.367326,2.003834,1,,999,999,0
278.688,22416,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.3515625,-4.833984,-0.2875862,,,,,,,,2.034144,0.8982433,-2.479194,2.168149,1,,999,999,0
278.701,22417,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.3515625,-4.833984,-0.2884853,,,,,,,,2.027079,1.09095,-2.62806,2.122594,1,,999,999,0
278.713,22418,48,NOERROR,0,0,,,-0.9515949,-0.3515625,-0.3515625,-4.833984,-0.2896842,,,,,,,,2.181203,0.9574221,-2.684979,2.522892,1,,999,999,0
