DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
487.98,39201,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4050784,,,,,,,,-2.479402,2.64055,-0.7063696,1,,999,999,0
487.992,39202,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4037296,,,,,,,,-2.576617,3.069568,-1.436578,1,,999,999,0
488.005,39203,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4040293,,,,,,,,-2.745196,2.733876,-0.5007098,1,,999,999,0
488.017,39204,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4023809,,,,,,,,-2.783358,2.973545,-1.056937,1,,999,999,0
488.03,39205,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4040293,,,,,,,,-2.989535,2.458158,-0.590174,1,,999,999,0
488.042,39206,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4029803,,,,,,,,-2.853346,2.75581,-0.7408595,1,,999,999,0
488.055,39207,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4046288,,,,,,,,-2.898328,2.902043,-1.07999,1,,999,999,0
488.067,39208,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4064272,,,,,,,,-2.835262,2.809896,-0.9123626,1,,999,999,0
488.08,39209,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4043291,,,,,,,,-2.890495,3.051929,-1.186821,1,,999,999,0
488.092,39210,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.406577,,,,,,,,-2.902956,2.805379,-0.7455685,1,,999,999,0
488.104,39211,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4062773,,,,,,,,-2.973582,2.789535,-0.6565737,1,,999,999,0
488.117,39212,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4082255,,,,,,,,-2.71846,2.707039,-0.7598991,1,,999,999,0
488.129,39213,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4091247,,,,,,,,-2.717092,2.720152,-1.127849,1,,999,999,0
488.142,39214,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.411972,,,,,,,,-2.855141,2.902043,-1.173936,1,,999,999,0
488.154,39215,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4103236,,,,,,,,-2.753319,2.756503,-0.821853,1,,999,999,0
488.167,39216,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.411972,,,,,,,,-2.49184,2.349943,-0.8550025,1,,999,999,0
488.179,39217,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.410923,,,,,,,,-2.446769,2.594011,-0.5993721,1,,999,999,0
488.192,39218,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4116723,,,,,,,,-2.439625,2.774405,-0.8081194,1,,999,999,0
488.204,39219,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4100238,,,,,,,,-2.707072,2.262965,-0.3848596,1,,999,999,0
488.216,39220,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4083754,,,,,,,,-2.742485,2.38414,-0.6859533,1,,999,999,0
488.229,39221,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4067269,,,,,,,,-2.697323,2.324649,-0.7040302,1,,999,999,0
488.241,39222,48,NOERROR,0,0,,,-2.24017,1.054688,0.1757813,-26.19141,0.4067269,,,,,,,,-2.958951,2.572387,-0.6516442,1,,999,999,0
