DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
914.046,7908,48,NOERROR,0,0,,,-2.62114,0.703125,0.4394531,-25.83984,0.397885,,,,,,,,-3.108273,2.330519,-0.2796344,1,,999,999,0.0008146705
914.058,7909,48,NOERROR,0,0,,,-2.62114,0.703125,0.4394531,-25.83984,0.3977351,,,,,,,,-3.139034,2.263534,-0.4421194,1,,999,999,0
914.071,7910,48,NOERROR,0,0,,,-2.62114,0.703125,0.4394531,-25.83984,0.3983346,,,,,,,,-3.307495,2.429886,-0.6848804,1,,999,999,0
914.0831,7911,48,NOERROR,0,0,,,-2.62114,0.703125,0.4394531,-25.83984,0.3966861,,,,,,,,-3.257253,2.265813,-0.357125,1,,999,999,0
914.095,7912,48,NOERROR,0,0,,,-2.620725,0.703125,0.4394531,-25.83984,0.3974354,,,,,,,,-3.284289,2.441531,-0.4790656,1,,999,999,0.0009572055
914.108,7913,48,NOERROR,0,0,,,-2.62031,0.703125,0.4394531,-25.83984,0.397885,,,,,,,,-3.399205,2.322309,-0.3584133,1,,999,999,0.0008156071
914.1201,7914,48,NOERROR,0,0,,,-2.619895,0.703125,0.4394531,-25.83984,0.3977351,,,,,,,,-3.367254,2.248001,-0.3783515,1,,999,999,0.0009561063
914.1331,7915,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.3977351,,,,,,,,-3.427728,2.298071,-0.3360816,1,,999,999,0.0008156071
914.145,7916,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.3984844,,,,,,,,-3.350264,2.270386,-0.647393,1,,999,999,0
914.158,7917,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.3990839,,,,,,,,-3.42247,2.448278,-0.6561984,1,,999,999,0
914.17,7918,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.398934,,,,,,,,-3.241409,2.539042,-0.4936332,1,,999,999,0
914.183,7919,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.3996834,,,,,,,,-3.277966,2.836531,-1.047929,1,,999,999,0
914.1951,7920,48,NOERROR,0,0,,,-2.61948,0.703125,0.4394531,-25.83984,0.4005825,,,,,,,,-2.778207,2.43357,-0.5648308,1,,999,999,0
