DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
2074.346,33671,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.122203,,,,,,,,-1.793247,1.634924,-1.802496,-2.454938,1,,999,999,0
2074.359,33672,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.118756,,,,,,,,-1.973292,1.469909,-1.777347,-2.218886,1,,999,999,0
2074.371,33673,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.11426,,,,,,,,-2.132242,1.859693,-2.125532,-2.256324,1,,999,999,0
2074.384,33674,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.113811,,,,,,,,-1.893531,1.547376,-1.547376,-2.226421,1,,999,999,0
2074.396,33675,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.113811,,,,,,,,-1.902985,1.745315,-2.137554,-1.409984,1,,999,999,0
2074.408,33676,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.11441,,,,,,,,-1.737907,1.274961,-1.372879,-2.337235,1,,999,999,0
2074.421,33677,48,NOERROR,0,0,,,-0.729155,-2.460938,-1.142578,52.38281,-2.113961,,,,,,,,-1.714484,1.643162,-1.57346,-2.584408,1,,999,999,0.0008151386
2074.433,33678,48,NOERROR,0,0,,,-0.729155,-2.460938,-1.142578,52.38281,-2.113211,,,,,,,,-2.002084,1.945636,-2.099057,-2.396073,1,,999,999,0
2074.446,33679,48,NOERROR,0,0,,,-0.729155,-2.460938,-1.142578,52.38281,-2.11471,,,,,,,,-1.927479,1.698222,-1.795996,-2.530444,1,,999,999,0
2074.458,33680,48,NOERROR,0,0,,,-0.729155,-2.460938,-1.142578,52.38281,-2.115459,,,,,,,,-1.982106,1.63575,-2.108913,-1.997493,1,,999,999,0
2074.471,33681,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.117408,,,,,,,,-1.691975,1.750602,-1.680814,-2.348521,1,,999,999,-0.0008151386
2074.483,33682,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.117707,,,,,,,,-1.844038,1.671974,-1.811617,-2.147582,1,,999,999,0
2074.496,33683,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.117258,,,,,,,,-1.727205,2.030506,-1.960684,-2.244388,1,,999,999,0
2074.508,33684,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.11456,,,,,,,,-1.827972,1.958559,-1.888498,-2.443657,1,,999,999,0
2074.52,33685,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.111863,,,,,,,,-1.774382,1.558684,-1.683997,-2.250684,1,,999,999,0
2074.533,33686,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.38281,-2.109165,,,,,,,,-1.861947,2.296381,-2.199128,-2.370374,1,,999,999,0
2074.545,33687,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.4707,-2.106168,,,,,,,,-1.748643,2.009807,-2.190506,-2.396928,1,,999,999,0
2074.558,33688,48,NOERROR,0,0,,,-0.72957,-2.460938,-1.142578,52.4707,-2.10332,,,,,,,,-1.897766,1.711745,-1.655928,-2.818995,1,,999,999,0
2074.57,33689,48,NOERROR,0,0,,,-0.729985,-2.460938,-1.142578,52.4707,-2.10332,,,,,,,,-1.88532,2.116834,-2.368068,-2.316742,1,,999,999,-0.0009569307
2074.583,33690,48,NOERROR,0,0,,,-0.729985,-2.460938,-1.142578,52.4707,-2.102571,,,,,,,,-1.781013,1.738751,-2.210653,-2.154374,1,,999,999,0
2074.595,33691,48,NOERROR,0,0,,,-0.729985,-2.460938,-1.142578,52.4707,-2.102421,,,,,,,,-1.957974,1.901475,-1.705593,-2.481419,1,,999,999,0
2074.608,33692,48,NOERROR,0,0,,,-0.729985,-2.460938,-1.142578,52.4707,-2.102272,,,,,,,,-1.875042,1.818303,-1.944013,-2.183466,1,,999,999,0
2074.62,33693,48,NOERROR,0,0,,,-0.729985,-2.460938,-1.142578,52.4707,-2.100923,,,,,,,,-1.781228,1.968992,-1.704894,-2.267223,1,,999,999,0
