DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
722.632,58055,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5568891,,,,,,,,-2.769582,2.427795,-0.4417773,15.8098,1,,999,999,0
722.645,58056,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5552406,,,,,,,,-2.432125,2.535214,-0.6251326,15.82219,1,,999,999,0
722.657,58057,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5562897,,,,,,,,-2.625736,2.079417,-0.39596,16.18484,1,,999,999,0
722.67,58058,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.553742,,,,,,,,-2.585393,2.34346,-0.232709,15.52711,1,,999,999,0
722.682,58059,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.553742,,,,,,,,-2.465792,2.554734,-0.7098274,15.88305,1,,999,999,0
722.694,58060,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5520935,,,,,,,,-2.482442,2.369805,-0.5947352,15.84866,1,,999,999,0
722.707,58061,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5538918,,,,,,,,-2.830119,2.574489,-0.7102859,15.78409,1,,999,999,0
722.7191,58062,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5528429,,,,,,,,-2.511521,2.557309,-0.2183005,15.22348,1,,999,999,0
722.7321,58063,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.554791,,,,,,,,-2.457222,2.734566,-1.122201,15.92811,1,,999,999,0
722.744,58064,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5564395,,,,,,,,-2.613093,2.515141,-0.4300503,15.51293,1,,999,999,0
722.757,58065,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5571889,,,,,,,,-2.406854,2.914255,-0.9609542,15.93191,1,,999,999,0
722.769,58066,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.559137,,,,,,,,-2.501593,2.518464,-0.7103102,16.00064,1,,999,999,0
722.782,58067,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5577883,,,,,,,,-2.285949,2.604522,-0.553637,15.8239,1,,999,999,0
722.794,58068,48,NOERROR,0,0,,,-2.427335,-1.669922,-0.08789063,-106.875,0.5598863,,,,,,,,-2.611224,2.498332,-0.5066015,15.87391,1,,999,999,0
