DeviceID: 
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
640.7061,41216,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1570559,,,,,,,,1.449535,1.756817,-3.689764,1,,999,999,0
640.721,41217,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1594537,,,,,,,,1.583206,1.962377,-3.724768,1,,999,999,0
640.7371,41218,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1567562,,,,,,,,1.272039,1.873754,-4.173891,1,,999,999,0
640.752,41219,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1570559,,,,,,,,1.639218,1.962377,-4.169296,1,,999,999,0
640.768,41220,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1570559,,,,,,,,1.217557,1.973969,-3.727946,1,,999,999,0
640.783,41221,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1578052,,,,,,,,1.474883,1.840815,-3.730387,1,,999,999,0
640.799,41222,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1573556,,,,,,,,1.146025,1.817416,-3.790904,1,,999,999,0
640.814,41223,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1563066,,,,,,,,1.435696,1.631401,-3.072236,1,,999,999,0
640.83,41224,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1546581,,,,,,,,1.165188,2.120577,-4.031601,1,,999,999,0
640.845,41225,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1546581,,,,,,,,1.316165,1.456596,-3.38907,1,,999,999,0
640.861,41226,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1533093,,,,,,,,1.330611,1.765407,-3.835269,1,,999,999,0
640.877,41227,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.151511,,,,,,,,1.235266,1.839463,-3.616699,1,,999,999,0
640.892,41228,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1501622,,,,,,,,1.149444,2.145484,-3.94065,1,,999,999,0
640.908,41229,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1492631,,,,,,,,1.149097,1.836314,-3.535029,1,,999,999,0
640.923,41230,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1494129,,,,,,,,1.368654,2.109722,-3.646933,1,,999,999,0
640.939,41231,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1486636,,,,,,,,1.247751,1.865242,-3.81552,1,,999,999,0
640.954,41232,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1500124,,,,,,,,1.036443,1.947418,-4.107969,1,,999,999,0
640.97,41233,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1498625,,,,,,,,1.202224,1.789911,-3.589405,1,,999,999,0
640.985,41234,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1495628,,,,,,,,1.24403,1.95759,-3.787191,1,,999,999,0
641.001,41235,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1491132,,,,,,,,1.231495,2.04391,-3.712519,1,,999,999,0
641.0161,41236,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.151511,,,,,,,,1.213885,2.121613,-3.870879,1,,999,999,0
641.032,41237,48,NOERROR,0,0,,,0.635365,0.4394531,0.08789063,-26.01563,0.1521105,,,,,,,,1.115851,1.897534,-3.618829,1,,999,999,0
