DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,epx,epy,epz,imuangle1,imuangle2,imuangle3,marbtn,calibbtn
224.302,21162,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.53663,-0.0897299,-0.7599809,-0.03078493,-95,0,0,1,1
224.312,21163,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.536552,-0.0897299,-0.7599809,-0.03078493,-95,0,0,1,1
224.323,21164,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.535697,-0.0897299,-0.7599809,-0.03078493,-95,0,0,1,1
224.334,21165,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.534376,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.344,21166,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.534143,-0.0897299,-0.7599809,-0.03078493,-95,0,2,1,1
224.355,21167,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.532744,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.365,21168,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.484192,-4.533366,-0.0897299,-0.7599809,-0.03078493,-95,0,0,1,1
224.376,21169,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.533832,-0.0897299,-0.7599809,-0.03078493,-95,0,0,1,1
224.386,21170,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.534609,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.397,21171,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.534609,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.408,21172,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.534687,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.418,21173,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.535231,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.429,21174,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.535464,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.439,21175,1,NOERROR,1,1,0,0,-96.73368,3.101995,-2.101537,5.572083,-4.536319,-0.0897299,-0.7599809,-0.03078493,-95,0,1,1,1
224.45,21176,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.537718,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.46,21177,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.538806,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.471,21178,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.539272,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.481,21179,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.539117,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.492,21180,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.538573,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.503,21181,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.536863,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.513,21182,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.534842,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.524,21183,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.531967,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.534,21184,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.528392,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.545,21185,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.525205,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.555,21186,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.52264,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.566,21187,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.520075,-0.08973446,-0.7600195,-0.03005733,-95,1,1,1,1
224.577,21188,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.517122,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.587,21189,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.515412,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.598,21190,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.513391,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.608,21191,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.512303,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.619,21192,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.511137,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.629,21193,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.511371,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.64,21194,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.511371,-0.08973446,-0.7600195,-0.03005733,-94,0,0,1,1
224.65,21195,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.511759,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.661,21196,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.51207,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.672,21197,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.512614,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.682,21198,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.513158,-0.08973534,-0.7600269,-0.029611,-95,0,0,1,1
224.693,21199,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.514557,-0.08973534,-0.7600269,-0.029611,-95,0,0,1,1
224.703,21200,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.516423,-0.08973534,-0.7600269,-0.029611,-95,0,0,1,1
224.714,21201,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.518599,-0.08973534,-0.7600269,-0.029611,-95,1,0,1,1
224.724,21202,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.521008,-0.08973534,-0.7600269,-0.029611,-95,0,0,1,1
224.735,21203,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.523262,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.746,21204,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.526604,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.756,21205,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.52948,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.767,21206,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.533133,-0.08973534,-0.7600269,-0.029611,-95,0,2,1,1
224.777,21207,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.537019,-0.08973534,-0.7600269,-0.029611,-95,0,1,1,1
224.788,21208,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.101537,5.572083,-4.54036,-0.08973534,-0.7600269,-0.029611,-95,1,1,1,1
224.798,21209,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.543469,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.809,21210,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.545335,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.82,21211,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.54619,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.83,21212,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.546501,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.841,21213,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.547511,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.851,21214,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.5472,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.862,21215,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.5472,-0.08973446,-0.7600195,-0.03005733,-95,1,0,1,1
224.872,21216,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.548055,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.883,21217,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.547744,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.893,21218,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.548599,-0.08973446,-0.7600195,-0.03005733,-95,0,0,1,1
224.904,21219,1,NOERROR,1,1,0,0,-96.73368,3.014105,-2.013646,5.572083,-4.54992,-0.08973446,-0.7600195,-0.03005733,-95,0,1,1,1
224.915,21220,1,NOERROR,1,1,0,0,-96.73409,3.014105,-2.013646,5.659973,-4.551785,-0.0897399,-0.7600188,-0.03005733,-95,0,0,1,1
224.925,21221,1,NOERROR,1,1,0,0,-96.73409,3.014105,-2.013646,5.659973,-4.553962,-0.0897399,-0.7600188,-0.03005733,-95,0,1,1,1
224.936,21222,1,NOERROR,1,1,0,0,-96.73409,3.014105,-2.013646,5.659973,-4.55606,-0.0897399,-0.7600188,-0.03005733,-95,0,0,1,1
224.946,21223,1,NOERROR,1,1,0,0,-96.73451,3.014105,-2.013646,5.659973,-4.557537,-0.08974552,-0.7600182,-0.03005733,-95,0,1,1,1
224.957,21224,1,NOERROR,1,1,0,0,-96.73451,3.014105,-2.013646,5.659973,-4.559324,-0.08974552,-0.7600182,-0.03005733,-95,0,1,1,1
224.967,21225,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.560257,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
224.978,21226,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.561034,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
224.989,21227,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.561889,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
224.999,21228,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.562278,-0.08975639,-0.7600169,-0.03005733,-95,0,1,1,1
225.01,21229,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.563366,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.02,21230,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.564454,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.031,21231,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.566397,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.041,21232,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.566708,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.052,21233,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.567019,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.063,21234,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.56663,-0.08975639,-0.7600169,-0.03005733,-95,1,0,1,1
225.073,21235,1,NOERROR,1,1,0,0,-96.73534,3.014105,-2.013646,5.747864,-4.56663,-0.08975639,-0.7600169,-0.03005733,-95,0,0,1,1
225.084,21236,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.564843,-0.08975095,-0.7600176,-0.03005733,-95,0,0,1,1
225.094,21237,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.562356,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.105,21238,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.559247,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.115,21239,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.555516,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.126,21240,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.552563,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.136,21241,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.549298,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.147,21242,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.546889,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.158,21243,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.543858,-0.08975095,-0.7600176,-0.03005733,-95,0,0,1,1
225.168,21244,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.540827,-0.08975095,-0.7600176,-0.03005733,-95,1,0,1,1
225.179,21245,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.538651,-0.08975095,-0.7600176,-0.03005733,-95,0,0,1,1
225.189,21246,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.537174,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.2,21247,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.536786,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.21,21248,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.535542,-0.08975095,-0.7600176,-0.03005733,-95,0,0,1,1
225.221,21249,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.534998,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.232,21250,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.53391,-0.08975095,-0.7600176,-0.03005733,-95,1,0,1,1
225.242,21251,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.532744,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.253,21252,1,NOERROR,1,1,0,0,-96.73492,3.014105,-2.013646,5.747864,-4.531889,-0.08975095,-0.7600176,-0.03005733,-95,0,1,1,1
225.263,21253,1,NOERROR,1,1,0,0,-96.73534,2.926214,-2.013646,5.747864,-4.533288,-0.0897617,-0.7600618,-0.02888334,-95,0,1,1,1
225.274,21254,1,NOERROR,1,1,0,0,-96.73534,2.926214,-2.013646,5.747864,-4.534765,-0.0897617,-0.7600618,-0.02888334,-95,0,0,1,1
225.284,21255,1,NOERROR,1,1,0,0,-96.73534,2.926214,-2.013646,5.747864,-4.537641,-0.0897617,-0.7600618,-0.02888334,-95,0,0,1,1
225.295,21256,1,NOERROR,1,1,0,0,-96.73576,2.926214,-2.013646,5.747864,-4.540905,-0.08976731,-0.7600611,-0.02888334,-95,0,0,1,1
225.306,21257,1,NOERROR,1,1,0,0,-96.73576,2.926214,-2.013646,5.747864,-4.543547,-0.08976731,-0.7600611,-0.02888334,-95,0,1,1,1
225.316,21258,1,NOERROR,1,1,0,0,-96.73617,2.926214,-2.013646,5.747864,-4.545879,-0.08977275,-0.7600605,-0.02888334,-95,0,1,1,1
225.327,21259,1,NOERROR,1,1,0,0,-96.737,2.926214,-2.013646,5.747864,-4.545879,-0.0897838,-0.7600592,-0.02888334,-95,0,1,1,1
225.337,21260,1,NOERROR,1,1,0,0,-96.737,2.926214,-2.013646,5.747864,-4.548832,-0.0897838,-0.7600592,-0.02888334,-95,0,0,1,1
225.348,21261,1,NOERROR,1,1,0,0,-96.73741,2.926214,-2.013646,5.747864,-4.551708,-0.08978924,-0.7600586,-0.02888334,-95,0,0,1,1
225.358,21262,1,NOERROR,1,1,0,0,-96.73783,2.926214,-2.013646,5.747864,-4.554661,-0.08979486,-0.7600579,-0.02888334,-95,0,1,1,1
225.369,21263,1,NOERROR,1,1,0,0,-96.73824,2.926214,-2.013646,5.747864,-4.557926,-0.0898003,-0.7600572,-0.02888334,-95,0,1,1,1
225.379,21264,1,NOERROR,1,1,0,0,-96.73824,2.926214,-2.013646,5.747864,-4.560102,-0.0898003,-0.7600572,-0.02888334,-95,0,1,1,1
225.39,21265,1,NOERROR,1,1,0,0,-96.73824,2.838324,-2.013646,5.747864,-4.561656,-0.08980539,-0.7601003,-0.02770928,-95,1,1,1,1
225.401,21266,1,NOERROR,1,1,0,0,-96.73866,2.838324,-2.013646,5.747864,-4.561267,-0.08981091,-0.7600997,-0.02770928,-95,0,1,1,1
