DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn
127.058,9569,35,NOERROR,2,1,1,0,-88.5863,0.8880653,-99.59473,67.07526,15.07904,0.01063077,-0.4307616,0.2802846,-88.5863,22.56144,-51.64898,-88,-1,7,1,1
127.071,9570,35,NOERROR,2,1,1,0,-88.5863,0.8880653,-99.59473,66.98737,15.07181,0.01063077,-0.4307616,0.2802846,-88.5863,22.56144,-51.64898,-88,0,6,1,1
127.084,9571,35,NOERROR,2,1,1,0,-88.5863,0.8880653,-99.59473,66.98737,15.06272,0.01063077,-0.4307616,0.2802846,-88.5863,22.56144,-51.64898,-88,0,6,1,1
127.098,9572,35,NOERROR,2,1,1,0,-88.5863,0.8880653,-99.59473,66.98737,15.0513,0.01063077,-0.4307616,0.2802846,-88.5863,22.56144,-51.64898,-88,-1,6,1,1
127.111,9573,35,NOERROR,2,1,1,0,-88.5863,0.8001747,-99.59473,66.98737,15.04166,0.01062015,-0.4303312,0.2809452,-88.5863,22.5743,-51.93312,-88,0,6,1,1
127.124,9574,35,NOERROR,2,1,1,0,-88.5863,0.8001747,-99.68262,66.98737,15.03093,0.01060927,-0.4298903,0.2808766,-88.5863,22.67515,-52.19202,-88,0,6,1,1
127.137,9575,35,NOERROR,2,1,1,0,-88.5863,0.8001747,-99.68262,66.98737,15.02005,0.01060927,-0.4298903,0.2808766,-88.5863,22.67515,-52.19202,-88,-1,7,1,1
127.151,9576,35,NOERROR,2,1,1,0,-88.5863,0.8001747,-99.77051,66.98737,15.00871,0.01059839,-0.4294494,0.2808074,-88.5863,22.77562,-52.44967,-88,0,6,1,1
127.164,9577,35,NOERROR,2,1,1,0,-88.5863,0.7122841,-99.77051,67.07526,14.99829,0.01058775,-0.4290183,0.281466,-88.5863,22.7868,-52.7299,-88,0,6,1,1
127.177,9578,35,NOERROR,2,1,1,0,-88.5863,0.7122841,-99.8584,67.07526,14.98951,0.01057688,-0.4285777,0.2813954,-88.5863,22.88639,-52.98506,-88,0,6,1,1
127.19,9579,35,NOERROR,2,1,1,0,-88.5863,0.7122841,-99.8584,67.07526,14.97536,0.01057688,-0.4285777,0.2813954,-88.5863,22.88639,-52.98506,-88,-1,6,1,1
127.204,9580,35,NOERROR,2,1,1,0,-88.5863,0.7122841,-99.94629,67.07526,14.96099,0.01056601,-0.4281372,0.2813241,-88.5863,22.98556,-53.23901,-88,-1,7,1,1
127.217,9581,35,NOERROR,2,1,1,0,-88.5863,0.6243935,-100.0342,67.07526,14.94909,0.01054448,-0.4272649,0.2819081,-88.5863,23.09355,-53.76707,-88,-1,6,1,1
127.23,9582,35,NOERROR,2,1,1,0,-88.5863,0.6243935,-100.1221,67.07526,14.93969,0.01053362,-0.4268247,0.2818348,-88.5863,23.19155,-54.01748,-88,0,5,1,1
127.243,9583,35,NOERROR,2,1,1,0,-88.5863,0.6243935,-100.1221,67.07526,14.92314,0.01053362,-0.4268247,0.2818348,-88.5863,23.19155,-54.01748,-88,-1,6,1,1
127.257,9584,35,NOERROR,2,1,1,0,-88.5863,0.5365028,-100.21,67.07526,14.90472,0.01051208,-0.425952,0.2824147,-88.5863,23.29681,-54.53851,-88,0,5,1,1
127.27,9585,35,NOERROR,2,1,1,0,-88.5863,0.5365028,-100.2979,67.07526,14.88878,0.01050123,-0.4255122,0.2823394,-88.5863,23.39368,-54.7855,-88,0,5,1,1
127.283,9586,35,NOERROR,2,1,1,0,-88.5863,0.5365028,-100.2979,67.16315,14.87681,0.01050123,-0.4255122,0.2823394,-88.5863,23.39368,-54.7855,-88,0,4,1,1
127.296,9587,35,NOERROR,2,1,1,0,-88.5863,0.4486122,-100.3857,67.16315,14.86896,0.01047968,-0.4246391,0.2829152,-88.5863,23.49638,-55.29982,-88,0,5,1,1
127.31,9588,35,NOERROR,2,1,1,0,-88.5863,0.4486122,-100.3857,67.16315,14.85793,0.01047968,-0.4246391,0.2829152,-88.5863,23.49638,-55.29982,-88,0,5,1,1
127.323,9589,35,NOERROR,2,1,1,0,-88.5863,0.4486122,-100.4736,67.25104,14.84666,0.01046883,-0.4241996,0.2828379,-88.5863,23.59211,-55.54353,-88,0,5,1,1
127.336,9590,35,NOERROR,2,1,1,0,-88.5863,0.3607216,-100.5615,67.25104,14.835,0.01044727,-0.4233261,0.2834097,-88.5863,23.69233,-56.05138,-88,-1,5,1,1
127.349,9591,35,NOERROR,2,1,1,0,-88.5863,0.3607216,-100.5615,67.33893,14.82412,0.01044727,-0.4233261,0.2834097,-88.5863,23.69233,-56.05138,-88,0,5,1,1
127.363,9592,35,NOERROR,2,1,1,0,-88.5863,0.3607216,-100.5615,67.42682,14.81782,0.01044727,-0.4233261,0.2834097,-88.5863,23.69233,-56.05138,-88,0,4,1,1
127.376,9593,35,NOERROR,2,1,1,0,-88.5863,0.272831,-100.6494,67.51471,14.81262,0.0104257,-0.422452,0.2839789,-88.5863,23.79085,-56.55505,-88,-1,4,1,1
127.389,9594,35,NOERROR,2,1,1,0,-88.5863,0.272831,-100.6494,67.6026,14.81021,0.0104257,-0.422452,0.2839789,-88.5863,23.79085,-56.55505,-88,-1,4,1,1
127.402,9595,35,NOERROR,2,1,1,0,-88.5863,0.272831,-100.6494,67.6026,14.8099,0.0104257,-0.422452,0.2839789,-88.5863,23.79085,-56.55505,-88,-1,5,1,1
