DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn
363.169,27360,35,NOERROR,2,1,1,0,-88.53159,1.505854,-97.16726,55.92027,15.66972,6.990717,0.01143254,-0.4459825,0.277098,-88.53159,17.52316,-42.13849,-88,0,4,1,1
363.182,27361,35,NOERROR,2,1,1,0,-88.53159,1.417964,-97.16726,55.92027,15.73034,7.011067,0.01142163,-0.4455571,0.2777821,-88.53159,17.55142,-42.46444,-88,0,4,1,1
363.195,27362,35,NOERROR,2,1,1,0,-88.53159,1.417964,-97.16726,55.92027,15.79011,7.037706,0.01142163,-0.4455571,0.2777821,-88.53159,17.55142,-42.46444,-88,-1,4,1,1
363.209,27363,35,NOERROR,2,1,1,0,-88.53159,1.417964,-97.07937,55.92027,15.85384,7.073153,0.01143301,-0.4460011,0.2778264,-88.53159,17.43214,-42.14557,-88,-1,5,1,1
363.222,27364,35,NOERROR,2,1,1,0,-88.53118,1.330073,-97.07937,55.92027,15.91835,7.09514,0.01142527,-0.4455745,0.2785105,-88.53118,17.46027,-42.47146,-87,-1,5,1,1
363.235,27365,35,NOERROR,2,1,1,0,-88.53118,1.330073,-97.07937,55.92027,15.98293,7.123928,0.01142527,-0.4455745,0.2785105,-88.53118,17.46027,-42.47146,-88,-1,5,1,1
363.248,27366,35,NOERROR,2,1,1,0,-88.53118,1.330073,-97.07937,55.92027,16.04907,7.153408,0.01142527,-0.4455745,0.2785105,-88.53118,17.46027,-42.47146,-88,-2,5,1,1
363.262,27367,35,NOERROR,2,1,1,0,-88.53118,1.330073,-96.99148,55.92027,16.11148,7.188382,0.01143665,-0.4460185,0.2785549,-88.53118,17.34111,-42.15256,-87,-1,5,1,1
363.275,27368,35,NOERROR,2,1,1,0,-88.53118,1.330073,-96.99148,55.92027,16.17273,7.215707,0.01143665,-0.4460185,0.2785549,-88.53118,17.34111,-42.15256,-87,-2,6,1,1
363.288,27369,35,NOERROR,2,1,1,0,-88.53118,1.242182,-96.90359,55.92027,16.23249,7.242637,0.01143707,-0.4460348,0.2792833,-88.53118,17.25003,-42.15955,-88,-2,6,1,1
363.301,27370,35,NOERROR,2,1,1,0,-88.53118,1.242182,-96.90359,55.92027,16.28317,7.265247,0.01143707,-0.4460348,0.2792833,-88.53118,17.25003,-42.15955,-88,-2,6,1,1
363.315,27371,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.90359,55.92027,16.32397,7.283453,0.01144037,-0.4460348,0.2792833,-88.53076,17.24999,-42.15953,-87,-1,5,1,1
363.328,27372,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.8157,55.92027,16.36322,7.308235,0.01145176,-0.4464789,0.279327,-88.53076,17.13006,-41.83825,-87,-2,6,1,1
363.341,27373,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.8157,55.92027,16.39244,7.321286,0.01145176,-0.4464789,0.279327,-88.53076,17.13006,-41.83825,-88,-2,5,1,1
363.354,27374,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.8157,55.92027,16.42066,7.333887,0.01145176,-0.4464789,0.279327,-88.53076,17.13006,-41.83825,-87,-2,5,1,1
363.368,27375,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.72781,55.92027,16.43915,7.349452,0.01146315,-0.446923,0.27937,-88.53076,17.00928,-41.51456,-87,-2,5,1,1
363.381,27376,35,NOERROR,2,1,1,0,-88.53076,1.242182,-96.72781,55.83238,16.45719,7.357514,0.01146315,-0.446923,0.27937,-88.53076,17.00928,-41.51456,-88,-1,4,1,1
363.394,27377,35,NOERROR,2,1,1,0,-88.53076,1.330073,-96.63992,55.83238,16.47351,7.379183,0.01148552,-0.4477952,0.2787255,-88.53076,16.85589,-40.85277,-88,-1,3,1,1
363.407,27378,35,NOERROR,2,1,1,0,-88.53076,1.330073,-96.55202,55.74449,16.4906,7.394172,0.01149692,-0.4482396,0.2787665,-88.53076,16.73238,-40.52152,-88,-1,3,1,1
363.421,27379,35,NOERROR,2,1,1,0,-88.53035,1.330073,-96.55202,55.56871,16.50599,7.401073,0.01150012,-0.4482395,0.2787665,-88.53035,16.73236,-40.52151,-87,-1,3,1,1
363.434,27380,35,NOERROR,2,1,1,0,-88.53035,1.330073,-96.46413,55.48082,16.52776,7.418179,0.01151153,-0.4486839,0.2788068,-88.53035,16.60793,-40.18757,-88,-1,2,1,1
363.447,27381,35,NOERROR,2,1,1,0,-88.52952,1.417964,-96.28835,55.21714,16.55752,7.453338,0.01155184,-0.4499999,0.2781951,-88.52952,16.31904,-39.16226,-88,0,3,1,1
363.46,27382,35,NOERROR,2,1,1,0,-88.52911,1.417964,-96.20046,55.04136,16.59397,7.477127,0.01156647,-0.4504445,0.2782327,-88.52911,16.19053,-38.81705,-88,0,3,1,1
363.474,27383,35,NOERROR,2,1,1,0,-88.52827,1.417964,-96.02468,54.86558,16.63276,7.509402,0.01159588,-0.4513338,0.2783058,-88.52827,15.93029,-38.11742,-89,0,3,1,1
363.487,27384,35,NOERROR,2,1,1,0,-88.52703,1.417964,-95.8489,54.60191,16.67628,7.543894,0.01162855,-0.4522232,0.2783761,-88.52703,15.66553,-37.40503,-89,0,3,1,1
363.5,27385,35,NOERROR,2,1,1,0,-88.52578,1.505854,-95.67312,54.42613,16.71662,7.584154,0.01167229,-0.4535394,0.2777481,-88.52578,15.34884,-36.30402,-89,0,4,1,1
