DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn,target,desired,control
5035.217,52102,33,NOERROR,2,1,1,0,9.584386,-0.2968542,1.597401,37.20191,0.06512988,0.04988419,0.7552276,0.1275255,-0.004143785,9.584387,23.94456,5.008957E-06,7,2,0,1,1,999,999,0
5035.23,52103,33,NOERROR,2,1,1,0,9.584386,-0.2968542,1.597401,37.20191,0.0610884,0.04678875,0.7552276,0.1275255,-0.004143785,9.584387,23.94456,5.008957E-06,7,1,0,1,1,999,999,0
5035.243,52104,33,NOERROR,2,1,1,0,9.584386,-0.2968542,1.597401,37.20191,0.0535495,0.04101456,0.7552276,0.1275255,-0.004143785,9.584387,23.94456,5.008957E-06,7,1,0,1,1,999,999,0
5035.256,52105,33,NOERROR,2,1,1,0,9.584386,-0.2968542,1.597401,37.20191,0.04717641,0.0361333,0.7552276,0.1275255,-0.004143785,9.584387,23.94456,5.008957E-06,6,1,0,1,1,999,999,0
5035.27,52106,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.04165825,0.03190653,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.283,52107,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.03707273,0.02839443,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.296,52108,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.02930067,0.02244172,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.309,52109,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.02727994,0.02089401,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.323,52110,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.02114001,0.01619137,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.336,52111,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01562184,0.01196495,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.349,52112,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01398971,0.01071488,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.362,52113,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01165809,0.008929064,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.376,52114,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01025912,0.007857578,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.389,52115,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01025912,0.007857578,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.402,52116,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.01025912,0.007857578,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
5035.415,52117,33,NOERROR,2,1,1,0,9.584386,-0.2089636,1.597401,37.20191,0.00124353,0.0009524336,0.7552204,0.1275243,-0.005318684,9.584387,24.01814,5.008957E-06,6,1,0,1,1,999,999,0
